text,category,priority
Не проходит оплата картой,Оплата,Высокий
Платеж отклоняется каждый раз,Оплата,Высокий
Почему не могу оплатить заказ?,Оплата,Высокий
"Оплата не проходит, помогите",Оплата,Высокий
Система пишет «ошибка платежа»,Оплата,Высокий
"Я пытаюсь оплатить, но ничего не происходит",Оплата,Высокий
"Карта рабочая, но оплатить не получается",Оплата,Высокий
Платеж завис на этапе подтверждения,Оплата,Высокий
"Списались деньги, но заказ не оформился",Оплата,Высокий
Оплата прошла или нет? Непонятно,Оплата,Высокий
Не могу завершить оплату,Оплата,Высокий
Почему мой платеж отклонён?,Оплата,Высокий
Ошибка при оплате заказа,Оплата,Высокий
Сайт не принимает оплату,Оплата,Высокий
Не проходит платеж через карту,Оплата,Высокий
Оплата зависла на обработке,Оплата,Высокий
Деньги списались два раза,Оплата,Высокий
Почему дважды сняли деньги?,Оплата,Высокий
"Оплата прошла, а заказ не появился",Оплата,Высокий
"Система пишет, что платеж не выполнен",Оплата,Высокий
Не работает оплата через карту,Оплата,Высокий
Пытаюсь оплатить уже третий раз,Оплата,Высокий
Платеж не подтверждается,Оплата,Высокий
Почему платеж не проходит?,Оплата,Высокий
Оплата через приложение не работает,Оплата,Высокий
"Карта добавлена, но оплатить не могу",Оплата,Высокий
Пишет «операция отклонена банком»,Оплата,Высокий
"Деньги списали, но заказ не подтверждён",Оплата,Высокий
Оплата отменяется автоматически,Оплата,Высокий
Сервис не принимает мой платеж,Оплата,Высокий
"Списание прошло, а заказ не оформился",Оплата,Высокий
Не могу оплатить подписку,Оплата,Высокий
Ошибка при оплате подписки,Оплата,Высокий
Платеж отклоняется без причины,Оплата,Высокий
Оплата зависла и ничего не происходит,Оплата,Высокий
Почему оплата постоянно отклоняется?,Оплата,Высокий
"Я оплатил, но система пишет «не оплачено»",Оплата,Высокий
"Что делать, если деньги списались?",Оплата,Высокий
Платеж завис уже 10 минут,Оплата,Высокий
"Оплата прошла, но чек не пришёл",Оплата,Высокий
Где мой платеж?,Оплата,Высокий
Почему платеж не обработан?,Оплата,Высокий
Оплата через Apple Pay не проходит,Оплата,Высокий
Почему не получается оплатить?,Оплата,Высокий
Оплата зависла на странице банка,Оплата,Высокий
После оплаты сайт завис,Оплата,Высокий
Платеж не отображается в заказе,Оплата,Высокий
Не приходит подтверждение оплаты,Оплата,Высокий
"Я оплатил, но заказ всё ещё «ожидает оплату»",Оплата,Высокий
Оплата не фиксируется системой,Оплата,Высокий
Не могу оплатить через кошелёк,Оплата,Высокий
