text,category,priority
проходить оплата карта,Оплата,Высокий
платёж отклоняться каждый,Оплата,Высокий
почему мочь оплатить заказ,Оплата,Высокий
оплата проходить помочь,Оплата,Высокий
система писать ошибка платёж,Оплата,Высокий
пытаться оплатить происходить,Оплата,Высокий
карта рабочий оплатить получаться,Оплата,Высокий
платёж зависнуть этап подтверждение,Оплата,Высокий
списаться деньга заказ оформиться,Оплата,Высокий
оплата пройти непонятно,Оплата,Высокий
мочь завершить оплата,Оплата,Высокий
почему платёж отклонна,Оплата,Высокий
ошибка оплата заказ,Оплата,Высокий
сайт принимать оплата,Оплата,Высокий
проходить платёж карта,Оплата,Высокий
оплата зависнуть обработка,Оплата,Высокий
деньга списаться раз,Оплата,Высокий
почему дважды снять деньга,Оплата,Высокий
оплата пройти заказ появиться,Оплата,Высокий
система писать платёж выполнить,Оплата,Высокий
работать оплата карта,Оплата,Высокий
пытаться оплатить третий,Оплата,Высокий
платёж подтверждаться,Оплата,Высокий
почему платёж проходить,Оплата,Высокий
оплата приложение работать,Оплата,Высокий
карта добавить оплатить мочь,Оплата,Высокий
писать операция отклонить банк,Оплата,Высокий
деньга списать заказ подтверждна,Оплата,Высокий
оплата отменяться автоматически,Оплата,Высокий
сервис принимать платёж,Оплата,Высокий
списание пройти заказ оформиться,Оплата,Высокий
мочь оплатить подписка,Оплата,Высокий
ошибка оплата подписка,Оплата,Высокий
платёж отклоняться причина,Оплата,Высокий
оплата зависнуть происходить,Оплата,Высокий
почему оплата постоянно отклоняться,Оплата,Высокий
оплатить система писать оплатить,Оплата,Высокий
делать деньга списаться,Оплата,Высокий
платёж зависнуть минута,Оплата,Высокий
оплата пройти чек пришлый,Оплата,Высокий
платёж,Оплата,Высокий
почему платёж обработать,Оплата,Высокий
оплата apple pay проходить,Оплата,Высокий
почему получаться оплатить,Оплата,Высокий
оплата зависнуть страница банк,Оплата,Высокий
оплата сайт зависнуть,Оплата,Высокий
платёж отображаться заказ,Оплата,Высокий
приходить подтверждение оплата,Оплата,Высокий
оплатить заказ вс ещ ожидать оплата,Оплата,Высокий
оплата фиксироваться система,Оплата,Высокий
мочь оплатить кошёлк,Оплата,Высокий
оплата отклонить,Оплата,Высокий
почему платёж отменна,Оплата,Высокий
проходить оплата карта,Оплата,Высокий
платёж проходить интернет,Оплата,Высокий
оплата подтверждаться,Оплата,Высокий
карта валидный платёж проходить,Оплата,Высокий
деньга списать товар купиться,Оплата,Высокий
происходить оплата,Оплата,Высокий
оплатить измениться,Оплата,Высокий
ошибка обработка платёж,Оплата,Высокий
система писать невозможно выполнить платёж,Оплата,Высокий
платёж приниматься,Оплата,Высокий
оплата зависнуть шаг подтверждение,Оплата,Высокий
почему работать оплата,Оплата,Высокий
оплата заказ проходить,Оплата,Высокий
платёж отклоняться сразу,Оплата,Высокий
система дата оплатить,Оплата,Высокий
почему оплатить карта,Оплата,Высокий
